1,0,1,0,1
0,1,0,1,1
1,0,1,1,0
0,1,1,0,0
1,1,0,0,0
1,0,0,0,7
0,0,0,7,1
0,0,7,1,3
0,7,1,3,0
7,1,3,0,1
1,3,0,1,3
3,0,1,3,4
0,1,3,4,1
1,3,4,1,0
3,4,1,0,1
4,1,0,1,2
1,0,1,2,1
0,1,2,1,0
1,2,1,0,0
2,1,0,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,1,1
0,0,1,1,1
0,1,1,1,0
1,1,1,0,73
1,1,0,73,100
1,0,73,100,229
0,73,100,229,169
73,100,229,169,231
100,229,169,231,144
229,169,231,144,284
169,231,144,284,505
231,144,284,505,571
144,284,505,571,813
284,505,571,813,586
505,571,813,586,599
571,813,586,599,851
813,586,599,851,435
586,599,851,435,467
599,851,435,467,505
851,435,467,505,448
435,467,505,448,273
467,505,448,273,164
505,448,273,164,35
448,273,164,35,242
273,164,35,242,114
164,35,242,114,110
35,242,114,110,107
242,114,110,107,76
114,110,107,76,74
110,107,76,74,84
107,76,74,84,93
76,74,84,93,152
74,84,93,152,87
84,93,152,87,147
93,152,87,147,162
152,87,147,162,0
87,147,162,0,76
147,162,0,76,100
162,0,76,100,104
0,76,100,104,91
76,100,104,91,146
100,104,91,146,105
104,91,146,105,78
91,146,105,78,125
146,105,78,125,101
105,78,125,101,89
78,125,101,89,86
125,101,89,86,94
101,89,86,94,81
89,86,94,81,47
86,94,81,47,47
94,81,47,47,53
81,47,47,53,39
47,47,53,39,27
47,53,39,27,30
53,39,27,30,32
39,27,30,32,25
27,30,32,25,27
30,32,25,27,27
32,25,27,27,22
25,27,27,22,22
27,27,22,22,18
27,22,22,18,8
22,22,18,8,13
22,18,8,13,9
18,8,13,9,11
8,13,9,11,14
13,9,11,14,10
9,11,14,10,10
11,14,10,10,10
14,10,10,10,14
10,10,10,14,9
10,10,14,9,4
10,14,9,4,9
14,9,4,9,6
9,4,9,6,13
4,9,6,13,8
9,6,13,8,3
6,13,8,3,2
13,8,3,2,4
8,3,2,4,12
